id,fname,lname,year,city,car_id
0,David,cohen,1992,jerusalem,23297
1,ori,levi,1985,telaviv,23161
2,moshe,salomon,2001,haifa,62807
3,yosef,friedman,2005,haifa,31115
4,rina,azulay,1987,telaviv,90561
5,tova,levi,1992,jerusalem,36189
6,eliyahu,cohen,2005,beersheva,21540
7,sivan,levi,1985,jerusalem,85322
8,gadi,azulay,2001,jerusalem,41519
9,david,dahan,1986,telaviv,80325
10,Noach,yoav,1975,haifa,97355
11,Simcha,shalom,1985,rishon-letzion,30718
12,Yona,ben-david,2001,beit-shemesh,96737
13,Shalva,tzion,1997,eilat,71692
14,Sami,eliav,1968,beersheva,68525
15,Jane,sason,1983,ramat-gan,28206
16,shalom,burnstain,1987,ramat-gan,78481
17,Roi,epstain,1988,yesodot,30224
18,Lea,tzion,1994,efrat,94905
19,chen,golan,1993,dagan,93010
